domain
dropbox.com
drive.google.com
box.com
mega.nz
onedrive.live.com
icloud.com
nextcloud.com
spideroak.com
idrive.com
pcloud.com
mediafire.com
tresorit.com 
egnyte.com
sugarsync.com
storegate.com
opendrive.com
jungledisk.com
carbonite.com
flipdrive.com
filesanywhere.com
elephantdrive.com
adrive.com
jumpshare.com
